timestamp,percent,intensity,state,hand_closed
1746066227.0227141,12,0,0,0
1746066227.056441,12,0,0,0
1746066227.0810485,12,0,0,0
1746066227.1341565,12,0,0,0
1746066227.1968324,12,0,0,0
1746066227.2650967,12,0,0,0
1746066227.3298013,12,0,0,0
1746066227.4049747,11,0,0,0
1746066227.466388,11,0,0,0
1746066227.532091,11,0,0,0
1746066227.6002984,11,0,0,0
1746066227.6630218,11,0,0,0
1746066227.7298899,11,0,0,0
1746066227.8066366,11,0,0,0
1746066227.8629253,11,0,0,0
1746066227.9307437,11,0,0,0
1746066227.9947934,11,0,0,0
1746066228.056629,11,0,0,0
1746066228.1228275,11,0,0,0
1746066228.1990519,11,0,0,0
1746066228.266144,11,0,0,0
1746066228.3302364,11,0,0,0
1746066228.3910525,11,0,0,0
1746066228.457536,10,0,0,0
1746066228.533888,10,0,0,0
1746066228.5961206,10,0,0,0
1746066228.6669712,10,0,0,0
1746066228.723421,10,0,0,0
1746066228.7913318,10,0,0,0
1746066228.854859,11,0,0,1
1746066228.9110656,11,0,0,1
1746066229.0023458,12,0,0,1
1746066229.0969658,13,0,0,1
1746066229.1605055,13,0,0,1
1746066229.2244956,14,0,0,1
1746066229.303114,15,0,0,1
1746066229.327998,15,0,0,1
1746066229.4287925,16,0,0,1
1746066229.4998474,16,0,0,1
1746066229.5567968,17,0,0,1
1746066229.6205678,18,0,0,1
1746066229.7005632,18,0,0,0
1746066229.723624,18,0,0,0
1746066229.8304904,17,0,0,0
1746066229.894174,17,0,0,0
1746066229.9560206,17,0,0,0
1746066230.023646,17,0,0,0
1746066230.1140075,17,0,0,0
1746066230.1426308,17,0,0,0
1746066230.2300887,17,0,0,0
1746066230.2965276,17,0,0,0
1746066230.35812,17,0,0,0
1746066230.4200408,17,0,0,0
1746066230.5008388,17,0,0,0
1746066230.5242848,17,0,0,0
1746066230.6281042,17,0,0,0
1746066230.7005377,17,0,0,0
1746066230.7676325,17,0,0,0
1746066230.842009,17,0,0,0
1746066230.8702943,17,0,0,0
1746066230.9142075,16,0,0,0
1746066231.0357823,16,0,0,0
1746066231.0978346,16,0,0,0
1746066231.156486,16,0,0,0
1746066231.2430546,16,0,0,0
1746066231.2699912,16,0,0,0
1746066231.310303,16,0,0,0
1746066231.4292486,16,0,0,0
1746066231.4924564,16,0,0,0
1746066231.5635,16,0,0,0
1746066231.6101663,16,0,0,0
1746066231.6452892,16,0,0,0
1746066231.8101578,16,0,0,0
1746066232.0334694,16,0,0,0
1746066232.3251338,16,0,0,0
1746066232.5236626,16,0,0,0
1746066232.7744474,15,0,0,0
1746066233.0305269,15,0,0,0
1746066233.2437134,15,0,0,0
1746066233.3022063,15,0,0,0
1746066233.3834593,15,0,0,0
1746066233.4344,15,0,0,0
1746066233.519899,15,0,0,0
1746066233.5612702,15,0,0,0
1746066233.6076639,15,0,0,0
1746066233.6889777,15,0,0,0
1746066233.7747073,15,0,0,0
1746066233.8499858,15,0,0,0
1746066233.8990388,15,0,0,0
1746066233.9465663,15,0,0,0
1746066234.0201218,15,0,0,0
1746066234.0855305,15,0,0,0
1746066234.177896,14,0,0,0
1746066234.2511759,14,0,0,0
1746066234.2849991,14,0,0,0
1746066234.354854,14,0,0,0
1746066234.4243963,14,0,0,0
1746066234.4796815,14,0,0,0
1746066234.5863059,14,0,0,0
1746066234.6320455,14,0,0,0
1746066234.6871016,14,0,0,0
1746066234.7501383,14,0,0,0
1746066234.820267,14,0,0,0
1746066234.8821263,14,0,0,0
1746066234.9756114,14,0,0,0
1746066235.0408733,14,0,0,0
1746066235.1004195,14,0,0,0
1746066235.1547077,14,0,0,0
1746066235.2148101,13,0,0,0
1746066235.283954,13,0,0,0
1746066235.3887744,13,0,0,0
1746066235.4338598,13,0,0,0
1746066235.486597,13,0,0,0
1746066235.55101,13,0,0,0
1746066235.6316955,13,0,0,0
1746066235.691423,13,0,0,0
1746066235.771051,13,0,0,0
1746066235.8198087,13,0,0,0
1746066235.8927834,13,0,0,0
1746066235.9542987,13,0,0,0
1746066236.0150948,13,0,0,0
1746066236.0765471,13,0,0,0
1746066236.1680982,13,0,0,0
1746066236.2231634,13,0,0,0
1746066236.2894602,12,0,0,0
1746066236.3462167,12,0,0,0
1746066236.4164557,12,0,0,0
1746066236.4802258,12,0,0,0
1746066236.5552573,12,0,0,0
1746066236.624127,12,0,0,0
1746066236.6952586,12,0,0,0
1746066236.7576394,12,0,0,0
1746066236.8189487,12,0,0,0
